date,symbol,open,high,low,close,volume
2024-01-01,AAPL,185.0,187.5,184.0,186.5,50000000
2024-01-02,AAPL,186.5,188.0,185.5,187.2,48000000
2024-01-03,AAPL,187.2,189.0,186.0,188.1,52000000
2024-01-04,AAPL,188.1,190.5,187.5,189.8,51000000
2024-01-05,AAPL,189.8,191.0,188.5,190.2,49000000
2024-01-06,AAPL,190.2,192.5,189.0,191.5,53000000
2024-01-07,AAPL,191.5,193.0,190.5,192.3,50000000
2024-01-08,AAPL,192.3,194.5,191.0,193.2,55000000
2024-01-09,AAPL,193.2,195.0,192.5,194.1,52000000
2024-01-10,AAPL,194.1,196.0,193.0,195.0,48000000
# MSFT
2024-01-01,MSFT,380.0,382.0,378.0,381.5,30000000
2024-01-02,MSFT,381.5,383.5,380.0,382.8,29000000
2024-01-03,MSFT,382.8,385.0,381.5,384.0,32000000
2024-01-04,MSFT,384.0,386.5,383.0,385.2,31000000
2024-01-05,MSFT,385.2,387.0,384.5,386.1,30000000
# Add more stocks/days similarly - AAPL, MSFT, GOOG, TSLA, NVDA, AMZN, META, AMD, ORCL, IBM
# (Truncated, full 10x30 = 300 rows in production)

